学号,时间,时段类型,小时,金额,日期
S1202,2024-03-02,午餐,12.37,15.5,2024-03-02
S1028,2024-03-16,早餐,8.39,8.5,2024-03-16
S1048,2024-03-14,午餐,11.3,20.8,2024-03-14
S1109,2024-03-03,超市,16.46,15.7,2024-03-03
S1281,2024-03-16,午餐,11.4,17.0,2024-03-16
S1134,2024-03-15,超市,9.21,114.6,2024-03-15
S1081,2024-03-06,超市,18.29,28.5,2024-03-06
S1119,2024-03-30,早餐,8.74,6.9,2024-03-30
S1005,2024-03-14,早餐,6.53,8.3,2024-03-14
S1147,2024-03-19,午餐,11.84,11.2,2024-03-19
S1139,2024-03-28,午餐,12.05,14.3,2024-03-28
S1131,2024-03-07,早餐,7.36,8.3,2024-03-07
S1016,2024-03-06,晚餐,17.38,20.8,2024-03-06
S1029,2024-03-01,午餐,12.21,12.1,2024-03-01
S1035,2024-03-19,晚餐,17.05,15.6,2024-03-19
S1209,2024-03-26,早餐,7.28,3.0,2024-03-26
S1187,2024-03-08,午餐,11.74,16.2,2024-03-08
S1268,2024-03-06,午餐,11.63,14.8,2024-03-06
S1114,2024-03-31,早餐,7.47,6.1,2024-03-31
S1260,2024-03-15,午餐,11.97,14.9,2024-03-15
S1132,2024-03-29,午餐,12.4,14.8,2024-03-29
S1226,2024-03-28,晚餐,17.78,18.4,2024-03-28
S1086,2024-03-18,晚餐,18.06,16.5,2024-03-18
S1210,2024-03-04,午餐,11.86,11.6,2024-03-04
S1297,2024-03-07,超市,19.47,10.4,2024-03-07
S1258,2024-03-07,晚餐,17.85,12.9,2024-03-07
S1222,2024-03-27,晚餐,18.39,10.1,2024-03-27
S1104,2024-03-20,超市,14.7,24.4,2024-03-20
S1122,2024-03-06,午餐,12.43,10.8,2024-03-06
S1227,2024-03-23,早餐,8.04,7.0,2024-03-23
S1264,2024-03-21,超市,11.17,10.1,2024-03-21
S1211,2024-03-30,超市,10.77,56.0,2024-03-30
S1231,2024-03-09,早餐,6.49,7.6,2024-03-09
S1099,2024-03-28,早餐,7.65,6.2,2024-03-28
S1121,2024-03-10,晚餐,18.51,11.4,2024-03-10
S1118,2024-03-16,午餐,11.85,10.9,2024-03-16
S1057,2024-03-06,午餐,12.3,23.1,2024-03-06
S1219,2024-03-26,午餐,11.85,16.7,2024-03-26
S1155,2024-03-15,午餐,12.17,19.4,2024-03-15
S1276,2024-03-15,超市,11.95,4.1,2024-03-15
S1112,2024-03-07,早餐,8.28,10.2,2024-03-07
S1281,2024-03-22,午餐,11.87,11.1,2024-03-22
S1008,2024-03-05,超市,15.8,4.5,2024-03-05
S1244,2024-03-18,晚餐,17.86,12.1,2024-03-18
S1027,2024-03-04,午餐,12.86,13.2,2024-03-04
S1045,2024-03-18,午餐,12.06,9.7,2024-03-18
S1254,2024-03-11,早餐,7.6,7.8,2024-03-11
S1231,2024-03-06,午餐,12.58,18.2,2024-03-06
S1271,2024-03-06,早餐,7.11,5.4,2024-03-06
S1295,2024-03-24,午餐,11.92,15.3,2024-03-24
S1263,2024-03-14,午餐,12.4,21.4,2024-03-14
S1116,2024-03-06,早餐,7.26,4.0,2024-03-06
S1134,2024-03-05,晚餐,17.31,10.9,2024-03-05
S1037,2024-03-15,午餐,11.39,13.4,2024-03-15
S1016,2024-03-17,晚餐,18.0,12.4,2024-03-17
S1145,2024-03-07,超市,16.94,13.3,2024-03-07
S1020,2024-03-26,晚餐,17.28,19.6,2024-03-26
S1089,2024-03-28,午餐,11.6,20.6,2024-03-28
S1209,2024-03-21,晚餐,17.26,10.6,2024-03-21
S1243,2024-03-06,早餐,8.57,8.1,2024-03-06
S1155,2024-03-08,晚餐,17.54,16.6,2024-03-08
S1296,2024-03-30,早餐,7.51,6.5,2024-03-30
S1161,2024-03-29,晚餐,18.41,14.5,2024-03-29
S1144,2024-03-17,午餐,11.81,10.5,2024-03-17
S1062,2024-03-29,午餐,11.57,19.4,2024-03-29
S1037,2024-03-30,早餐,7.7,4.0,2024-03-30
S1113,2024-03-18,晚餐,17.81,19.3,2024-03-18
S1222,2024-03-09,午餐,12.92,16.5,2024-03-09
S1298,2024-03-18,超市,18.9,33.2,2024-03-18
S1008,2024-03-20,午餐,12.36,9.7,2024-03-20
S1005,2024-03-09,超市,18.04,13.0,2024-03-09
S1075,2024-03-17,晚餐,17.58,18.7,2024-03-17
S1079,2024-03-10,早餐,8.24,4.0,2024-03-10
S1146,2024-03-22,早餐,6.42,4.5,2024-03-22
S1085,2024-03-21,午餐,12.66,9.6,2024-03-21
S1069,2024-03-19,超市,15.99,2.4,2024-03-19
S1095,2024-03-02,早餐,8.3,8.3,2024-03-02
S1040,2024-03-08,午餐,12.01,10.0,2024-03-08
S1172,2024-03-04,早餐,7.02,6.0,2024-03-04
S1154,2024-03-17,早餐,7.92,5.1,2024-03-17
S1258,2024-03-27,早餐,7.34,7.1,2024-03-27
S1031,2024-03-05,早餐,8.58,7.7,2024-03-05
S1122,2024-03-04,超市,13.68,0.5,2024-03-04
S1159,2024-03-24,早餐,8.37,5.0,2024-03-24
S1199,2024-03-25,晚餐,17.46,9.2,2024-03-25
S1084,2024-03-28,早餐,6.9,7.6,2024-03-28
S1109,2024-03-20,午餐,12.29,16.7,2024-03-20
S1291,2024-03-16,午餐,12.95,16.5,2024-03-16
S1287,2024-03-12,午餐,12.6,15.8,2024-03-12
S1077,2024-03-02,晚餐,17.7,27.5,2024-03-02
S1069,2024-03-23,晚餐,18.11,20.4,2024-03-23
S1150,2024-03-02,午餐,12.67,19.7,2024-03-02
S1038,2024-03-31,超市,9.21,5.1,2024-03-31
S1124,2024-03-17,晚餐,17.7,11.4,2024-03-17
S1277,2024-03-12,早餐,7.89,4.6,2024-03-12
S1228,2024-03-27,午餐,12.12,18.4,2024-03-27
S1250,2024-03-30,晚餐,18.07,14.1,2024-03-30
S1153,2024-03-23,早餐,7.66,9.2,2024-03-23
S1060,2024-03-16,超市,17.41,0.6,2024-03-16
S1011,2024-03-07,午餐,12.35,12.0,2024-03-07
S1294,2024-03-14,早餐,7.49,5.0,2024-03-14
S1284,2024-03-15,晚餐,18.11,18.0,2024-03-15
S1140,2024-03-16,超市,14.15,21.7,2024-03-16
S1072,2024-03-20,超市,13.03,9.9,2024-03-20
S1234,2024-03-14,晚餐,17.58,11.7,2024-03-14
S1156,2024-03-29,早餐,7.83,5.6,2024-03-29
S1097,2024-03-01,午餐,11.92,11.3,2024-03-01
S1092,2024-03-01,午餐,11.47,13.7,2024-03-01
S1264,2024-03-27,晚餐,18.48,19.0,2024-03-27
S1071,2024-03-04,晚餐,18.57,17.4,2024-03-04
S1181,2024-03-14,早餐,7.94,2.4,2024-03-14
S1259,2024-03-15,早餐,8.35,0.5,2024-03-15
S1266,2024-03-29,晚餐,18.1,17.3,2024-03-29
S1118,2024-03-01,早餐,7.34,3.6,2024-03-01
S1105,2024-03-25,超市,12.25,9.1,2024-03-25
S1198,2024-03-18,早餐,6.58,1.2,2024-03-18
S1222,2024-03-09,晚餐,17.59,14.6,2024-03-09
S1225,2024-03-15,超市,10.85,6.6,2024-03-15
S1291,2024-03-15,晚餐,18.22,18.6,2024-03-15
S1037,2024-03-19,早餐,7.46,3.7,2024-03-19
S1253,2024-03-24,晚餐,16.93,18.4,2024-03-24
S1184,2024-03-27,晚餐,17.54,14.3,2024-03-27
S1280,2024-03-15,午餐,12.06,17.9,2024-03-15
S1251,2024-03-10,早餐,7.79,4.0,2024-03-10
S1221,2024-03-09,超市,16.72,18.0,2024-03-09
S1245,2024-03-03,午餐,12.32,19.8,2024-03-03
S1068,2024-03-15,早餐,8.15,4.1,2024-03-15
S1110,2024-03-27,晚餐,18.81,19.7,2024-03-27
S1180,2024-03-01,早餐,8.3,5.9,2024-03-01
S1025,2024-03-19,午餐,11.67,16.9,2024-03-19
S1215,2024-03-22,早餐,6.68,7.6,2024-03-22
S1067,2024-03-20,早餐,7.16,4.8,2024-03-20
S1276,2024-03-21,晚餐,18.17,10.3,2024-03-21
S1156,2024-03-14,早餐,6.96,6.6,2024-03-14
S1162,2024-03-24,晚餐,17.46,10.5,2024-03-24
S1258,2024-03-26,午餐,11.36,13.6,2024-03-26
S1045,2024-03-06,超市,10.87,12.7,2024-03-06
S1052,2024-03-12,午餐,12.63,14.3,2024-03-12
S1227,2024-03-24,早餐,7.01,8.1,2024-03-24
S1108,2024-03-10,晚餐,19.07,12.4,2024-03-10
S1205,2024-03-24,早餐,7.75,6.6,2024-03-24
S1241,2024-03-31,午餐,11.63,16.5,2024-03-31
S1083,2024-03-05,超市,17.66,16.6,2024-03-05
S1172,2024-03-11,午餐,11.52,15.4,2024-03-11
S1165,2024-03-17,晚餐,18.0,20.6,2024-03-17
S1037,2024-03-23,晚餐,17.95,15.7,2024-03-23
S1196,2024-03-12,午餐,11.79,13.9,2024-03-12
S1046,2024-03-10,晚餐,18.84,20.7,2024-03-10
S1108,2024-03-16,午餐,12.83,23.6,2024-03-16
S1285,2024-03-09,早餐,7.02,4.6,2024-03-09
S1007,2024-03-25,午餐,11.95,11.9,2024-03-25
S1066,2024-03-26,超市,12.6,12.9,2024-03-26
S1173,2024-03-15,超市,10.75,4.5,2024-03-15
S1192,2024-03-29,早餐,7.34,5.5,2024-03-29
S1283,2024-03-07,晚餐,18.85,6.5,2024-03-07
S1215,2024-03-19,午餐,11.83,13.1,2024-03-19
S1202,2024-03-07,早餐,6.95,4.0,2024-03-07
S1238,2024-03-13,晚餐,17.35,16.9,2024-03-13
S1044,2024-03-21,晚餐,18.56,14.5,2024-03-21
S1189,2024-03-24,早餐,7.38,1.3,2024-03-24
S1031,2024-03-02,超市,18.12,2.2,2024-03-02
S1067,2024-03-11,午餐,12.34,7.8,2024-03-11
S1058,2024-03-01,早餐,7.19,7.3,2024-03-01
S1154,2024-03-16,晚餐,18.5,14.5,2024-03-16
S1109,2024-03-31,晚餐,17.71,7.6,2024-03-31
S1051,2024-03-02,超市,19.93,17.1,2024-03-02
S1263,2024-03-04,午餐,12.09,13.0,2024-03-04
S1153,2024-03-21,早餐,7.79,6.3,2024-03-21
S1270,2024-03-14,晚餐,17.83,8.2,2024-03-14
S1057,2024-03-22,早餐,7.45,4.4,2024-03-22
S1219,2024-03-19,午餐,12.52,13.4,2024-03-19
S1142,2024-03-19,晚餐,17.89,12.9,2024-03-19
S1104,2024-03-19,午餐,12.42,16.1,2024-03-19
S1276,2024-03-14,午餐,11.65,11.6,2024-03-14
S1216,2024-03-23,早餐,7.09,6.7,2024-03-23
S1150,2024-03-23,午餐,12.26,21.0,2024-03-23
S1063,2024-03-29,午餐,11.49,11.1,2024-03-29
S1106,2024-03-09,晚餐,18.45,15.3,2024-03-09
S1027,2024-03-30,超市,13.67,62.9,2024-03-30
S1241,2024-03-07,早餐,8.64,8.3,2024-03-07
S1086,2024-03-12,午餐,12.64,11.8,2024-03-12
S1244,2024-03-06,晚餐,18.06,7.8,2024-03-06
S1168,2024-03-16,超市,20.28,17.4,2024-03-16
S1194,2024-03-21,午餐,12.95,14.3,2024-03-21
S1231,2024-03-24,早餐,7.42,2.8,2024-03-24
S1099,2024-03-12,超市,18.98,4.3,2024-03-12
S1204,2024-03-10,早餐,7.59,7.3,2024-03-10
S1227,2024-03-13,早餐,6.64,4.8,2024-03-13
S1128,2024-03-07,早餐,7.99,5.8,2024-03-07
S1258,2024-03-13,早餐,7.77,3.8,2024-03-13
S1282,2024-03-13,晚餐,18.06,11.5,2024-03-13
S1186,2024-03-19,午餐,10.8,14.9,2024-03-19
S1154,2024-03-20,晚餐,18.33,15.1,2024-03-20
S1079,2024-03-23,早餐,7.49,6.8,2024-03-23
S1177,2024-03-24,晚餐,17.46,19.3,2024-03-24
S1297,2024-03-04,超市,10.22,10.9,2024-03-04
S1191,2024-03-19,早餐,6.96,5.4,2024-03-19
S1019,2024-03-31,午餐,12.23,12.0,2024-03-31
S1146,2024-03-20,晚餐,18.31,13.4,2024-03-20
S1113,2024-03-31,午餐,11.76,12.0,2024-03-31
S1034,2024-03-09,超市,19.43,1.0,2024-03-09
S1143,2024-03-21,晚餐,16.7,19.6,2024-03-21
S1208,2024-03-19,午餐,12.29,14.9,2024-03-19
S1144,2024-03-07,晚餐,16.97,7.9,2024-03-07
S1124,2024-03-14,早餐,7.1,10.6,2024-03-14
S1092,2024-03-10,晚餐,18.04,6.4,2024-03-10
S1196,2024-03-18,早餐,7.08,4.0,2024-03-18
S1118,2024-03-19,午餐,12.19,14.8,2024-03-19
S1034,2024-03-12,早餐,7.16,11.8,2024-03-12
S1148,2024-03-01,晚餐,18.21,14.3,2024-03-01
S1120,2024-03-02,午餐,12.21,19.6,2024-03-02
S1154,2024-03-16,早餐,7.31,8.8,2024-03-16
S1199,2024-03-29,超市,10.58,17.6,2024-03-29
S1240,2024-03-10,早餐,7.4,6.9,2024-03-10
S1151,2024-03-09,晚餐,18.66,12.0,2024-03-09
S1073,2024-03-01,早餐,7.83,6.7,2024-03-01
S1228,2024-03-29,晚餐,17.53,19.1,2024-03-29
S1054,2024-03-13,午餐,11.4,19.8,2024-03-13
S1047,2024-03-31,午餐,12.28,18.6,2024-03-31
S1192,2024-03-06,晚餐,18.2,15.5,2024-03-06
S1113,2024-03-11,午餐,12.04,17.4,2024-03-11
S1099,2024-03-26,午餐,12.56,9.9,2024-03-26
S1074,2024-03-06,午餐,11.5,22.1,2024-03-06
S1181,2024-03-03,午餐,11.77,21.0,2024-03-03
S1238,2024-03-23,午餐,12.39,9.8,2024-03-23
S1081,2024-03-11,早餐,7.03,5.8,2024-03-11
S1243,2024-03-26,早餐,7.26,2.9,2024-03-26
S1016,2024-03-29,早餐,7.95,5.8,2024-03-29
S1122,2024-03-09,晚餐,17.51,13.4,2024-03-09
S1289,2024-03-04,午餐,12.71,22.3,2024-03-04
S1058,2024-03-02,晚餐,18.28,14.4,2024-03-02
S1218,2024-03-18,午餐,12.2,14.4,2024-03-18
S1043,2024-03-16,早餐,8.28,4.7,2024-03-16
S1039,2024-03-15,午餐,12.51,11.8,2024-03-15
S1280,2024-03-31,午餐,11.77,15.9,2024-03-31
S1077,2024-03-28,早餐,6.93,6.5,2024-03-28
S1144,2024-03-14,早餐,8.97,6.4,2024-03-14
S1299,2024-03-10,午餐,11.73,18.6,2024-03-10
S1144,2024-03-28,超市,19.16,4.5,2024-03-28
S1299,2024-03-10,午餐,11.45,17.5,2024-03-10
S1095,2024-03-08,早餐,7.7,5.5,2024-03-08
S1129,2024-03-14,早餐,6.65,3.0,2024-03-14
S1288,2024-03-06,早餐,8.02,8.0,2024-03-06
S1163,2024-03-06,晚餐,18.55,22.5,2024-03-06
S1271,2024-03-10,早餐,7.41,8.8,2024-03-10
S1202,2024-03-08,午餐,13.37,14.4,2024-03-08
S1103,2024-03-21,晚餐,17.98,10.8,2024-03-21
S1184,2024-03-21,早餐,7.42,5.8,2024-03-21
S1009,2024-03-25,午餐,11.78,17.9,2024-03-25
S1004,2024-03-29,午餐,11.54,21.7,2024-03-29
S1026,2024-03-26,晚餐,18.67,17.5,2024-03-26
S1203,2024-03-01,午餐,12.57,9.3,2024-03-01
S1046,2024-03-04,午餐,11.27,22.6,2024-03-04
S1050,2024-03-09,早餐,7.33,6.6,2024-03-09
S1177,2024-03-07,早餐,7.26,6.9,2024-03-07
S1120,2024-03-20,超市,14.15,65.3,2024-03-20
S1227,2024-03-16,午餐,12.0,15.7,2024-03-16
S1158,2024-03-27,晚餐,17.73,11.3,2024-03-27
S1176,2024-03-15,晚餐,17.44,17.9,2024-03-15
S1296,2024-03-08,午餐,12.4,13.1,2024-03-08
S1195,2024-03-08,晚餐,17.33,16.1,2024-03-08
S1164,2024-03-14,超市,11.68,5.0,2024-03-14
S1064,2024-03-27,早餐,7.99,1.8,2024-03-27
S1145,2024-03-05,超市,13.37,14.9,2024-03-05
S1050,2024-03-09,晚餐,17.91,11.0,2024-03-09
S1206,2024-03-21,午餐,11.34,16.3,2024-03-21
S1247,2024-03-13,晚餐,17.72,14.7,2024-03-13
S1032,2024-03-31,晚餐,17.92,7.6,2024-03-31
S1245,2024-03-07,早餐,6.95,2.2,2024-03-07
S1103,2024-03-03,晚餐,17.16,11.1,2024-03-03
S1173,2024-03-31,晚餐,17.55,13.1,2024-03-31
S1075,2024-03-20,晚餐,17.22,15.0,2024-03-20
S1059,2024-03-25,早餐,8.66,7.7,2024-03-25
S1286,2024-03-24,晚餐,17.82,18.3,2024-03-24
S1251,2024-03-10,早餐,7.79,4.0,2024-03-10
S1288,2024-03-29,早餐,6.96,9.7,2024-03-29
S1072,2024-03-27,,6.37,3.1,2024-03-27
S1228,2024-03-09,午餐,11.93,21.1,2024-03-09
S1287,2024-03-30,午餐,12.73,17.5,2024-03-30
S1282,2024-03-22,早餐,7.35,-1.0,2024-03-22
S1115,2024-03-20,晚餐,18.22,-1.0,2024-03-20
S1006,2024-03-25,晚餐,18.51,-1.0,2024-03-25
